ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_INFO
22,Oct-Dec,WI,NA,1,2,1,2,2,0,1,1,3,1,1,1,,4,3,4,2,2,3,3,2,3,4,3,4,3,3,
23,Oct-Dec,WI,NA,2,1,2,3,2,2,3,3,3,0,3,3,,0,2,3,3,3,2,2,2,3,2,3,2,2,3,
24,Oct-Dec,WI,NA,1,3,2,1,1,2,1,0,1,0,1,0,,0,0,2,4,3,4,4,4,4,2,2,2,4,1,
25,Oct-Dec,WI,NA,2,2,1,1,2,0,0,0,0,0,0,0,,1,2,4,2,3,2,3,3,2,1,4,4,3,4,
26,Oct-Dec,WI,NA,2,3,1,2,3,1,1,1,2,0,1,0,,1,2,1,4,1,1,4,2,1,2,3,4,4,1,
27,Oct-Dec,WI,NA,1,2,1,1,2,0,1,1,1,0,1,1,total (12) subtotal emociones (3),2,1,3,2,2,4,4,3,3,3,4,3,2,1,-3
28,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,0,0,0,0,,2,3,3,3,3,4,3,2,3,3,3,3,2,3,
29,Oct-Dec,WI,NA,1,2,2,1,1,0,1,0,1,0,2,1,,0,2,2,2,3,3,4,1,3,3,1,1,3,1,
30,Oct-Dec,WI,NA,2,3,3,3,0,0,0,0,2,1,3,0,,1,3,3,3,2,3,2,2,3,0,2,4,3,2,
31,Oct-Dec,WI,NA,3,1,1,3,1,2,1,0,1,1,3,1,total (18) sub total (5),1,2,4,2,3,2,2,2,2,2,0,2,3,2,puntaje total: 1
32,Oct-Dec,WI,NA,2,3,2,3,0,0,2,1,3,1,2,0,"total= 19, sub-total= 5 ",0,2,2,2,2,3,3,2,2,0,2,3,2,3,puntaje= 0
33,Oct-Dec,WI,NA,1,3,1,2,1,1,1,1,2,1,0,0,,2,3,3,2,2,3,2,3,2,0,4,4,2,2,
34,Oct-Dec,WI,NA,1,2,1,2,0,0,1,1,0,1,2,2,"vecina, no les dan agua cuando les falta proteger mucho su agua ",2,3,2,2,2,1,2,2,2,3,3,3,2,3,puntaje= 4
35,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,,0,0,,1,1,2,3,3,4,3,1,3,2,2,2,3,2,puntaje= -10
36,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,0,0,0,Enojo- suciedad,0,2,2,3,3,3,3,2,3,2,1,2,2,1,puntaje= -9
37,Oct-Dec,WI,NA,1,0,0,0,0,0,0,0,0,1,0,0,"total= 2, sub= 1 ",,,,,0,0,,,,,,,,,PSS-14 not filled out for 037
38,Oct-Dec,WI,NA,0,0,0,0,2,0,0,0,3,0,0,0,"total= 5 , sub= 4 ",0,2,1,1,3,3,3,2,2,3,2,2,2,2,puntaje= -6
39,Oct-Dec,WI,NA,2,2,3,2,1,1,2,1,2,0,2,2,"total= 20, sub=6",2,2,3,3,3,2,2,2,2,2,4,4,3,2,puntaje=2
40,Oct-Dec,WI,NA,2,2,3,1,2,2,2,1,2,0,2,3,,0,1,1,2,3,1,2,2,3,2,1,1,4,1,
41,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,2,3,3,4,3,4,3,3,2,1,2,3,2,
42,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,3,3,4,2,1,3,2,3,2,3,2,
43,Oct-Dec,WS,NA,1,1,1,1,2,0,0,1,1,0,2,0,"Alimentos: tienen que bajar a cocinar pero no cambia plan
Enojo: ella se desespera
si se acaba garrafón te quedas sin beber después de las 6 hasta 10-11 am día siguiente",3,2,4,2,2,2,2,3,3,2,3,3,3,4,3: a veces me duermo con anciedad
44,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,3,4,4,4,2,2,2,4,4,4,2,
45,Oct-Dec,WI,NA,1,2,1,2,0,0,0,0,1,0,0,0,,4,2,4,3,4,3,2,3,2,2,3,3,2,2,
46,Oct-Dec,WI,NA,0,2,1,3,0,0,0,0,3,0,3,1,,2,2,2,3,3,3,4,2,3,1,0,3,4,0,
47,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,0,0,0,0,Bebida: 2 veces no hubo agua de garrafón,2,1,2,4,3,4,3,4,3,2,2,3,3,1,
48,Oct-Dec,WS,NA,0,0,0,1,0,0,1,0,,0,0,0,"Planes: En la semana anterior tuvo poca presión como todo 1 día porque arreglaron una bomba.
Cuerpo: A su esposo le salió agua sucia cuando se baño.",2,2,2,3,3,3,3,2,3,2,2,2,2,2,
49,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,3,2,3,2,2,2,1,0,2,3,0,
50,Oct-Dec,WS,NA,1,0,0,0,0,0,0,1,0,0,0,0,,3,4,3,3,2,3,2,3,2,2,3,4,3,3,
51,Oct-Dec,WS,NA,0,1,1,0,0,0,0,0,1,0,0,0,Cuando queda agua p/laver la cisterna. Quteren el agua 2 veces y no avisaron la quteron 2 hrs y fue molesto para ellos,4,4,4,2,1,2,1,4,1,0,4,4,2,4,
52,Oct-Dec,WI,NA,1,2,1,1,2,0,1,1,2,1,1,0,,3,4,3,2,3,2,3,2,2,4,3,4,2,2,
53,Oct-Dec,WI,NA,0,1,0,0,0,0,0,0,0,0,3,0,,2,2,2,1,2,3,3,3,2,3,3,2,3,4,
54,Oct-Dec,WI,NA,0,0,1,0,0,0,0,1,0,0,1,0,Para bebida--se olvide ira buscar agua,2,2,2,2,2,2,3,2,3,2,2,2,2,2,
55,Oct-Dec,WI,NA,1,2,2,1,0,0,1,0,1,0,0,0,,3,4,4,1,2,1,2,4,2,1,4,4,1,4,
56,Oct-Dec,WI,NA,1,2,3,2,0,0,0,0,2,0,0,1,5-hay que comprar garrafón,3,3,4,2,2,1,2,3,1,1,3,3,1,3,
57,Oct-Dec,WI,NA,3,2,2,2,2,0,1,0,0,0,0,0,,2,3,4,2,2,4,2,2,3,3,2,4,3,4,
58,Oct-Dec,WI,NA,0,0,1,0,0,0,1,0,1,0,2,0,,2,2,3,4,4,4,3,2,2,4,3,2,4,2,
59,Oct-Dec,WI,NA,0,1,0,0,1,0,0,1,2,0,2,0,Enojo--costo,1,1,3,4,4,3,2,2,3,2,2,3,3,2,
60,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,2,0,0,0,Enojo: -fin de semana; vecino lava su banqueta y carro; les molesta; le han dicho y es grosero,2,1,2,3,2,3,2,2,3,1,1,4,2,2,
61,Oct-Dec,WI,NA,0,0,0,1,0,0,1,0,1,0,0,0,"4. Si llega tarde, mover planes para más tarde. Llega tarde a trabajo y escuela.
7. Si no la mandan
9. Cuando cortan sin avisar.",3,4,3,2,2,3,4,3,2,0,1,3,2,3,
62,Oct-Dec,WI,NA,1,1,0,1,0,0,1,0,2,0,3,0,2) 10-11 llega a interrumpir,1,2,4,2,2,3,3,3,3,1,4,3,2,1,
63,Oct-Dec,WI,NA,1,0,1,0,1,0,1,1,0,1,3,,,2,3,3,2,3,3,2,2,3,2,3,2,1,2,
64,Oct-Dec,WI,NA,1,1,0,1,0,0,0,0,1,0,3,2,,3,4,3,2,3,4,2,3,3,2,3,1,2,3,
65,Oct-Dec,WI,NA,1,3,1,1,0,0,0,1,3,0,1,0,,4,4,3,2,2,1,4,3,2,1,4,3,2,3,
66,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,3,4,4,3,2,1,3,2,3,2,2,1,
67,Oct-Dec,WI,NA,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,4,4,3,3,3,2,3,2,1,4,3,1,
68,Oct-Dec,WI,NA,2,1,1,3,0,0,2,0,1,0,2,0,,2,2,3,2,2,2,3,3,2,2,3,3,2,2,
69,Oct-Dec,WI,NA,2,1,2,1,0,0,0,0,2,0,0,0,,3,1,4,1,1,3,3,1,2,3,3,3,2,4,
70,Oct-Dec,WI,NA,3,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,3,4,3,3,1,3,2,1,3,2,1,
71,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,0,0,0,0,,3,2,3,3,3,4,2,2,2,2,3,3,3,2,
72,Oct-Dec,WS,NA,0,0,0,0,0,0,0,1,1,0,0,0,8 (bebida)--porque no se pidio el garaffon,0,1,2,2,1,1,3,1,3,3,1,1,1,2,
73,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,1,0,0,0,Enojo-vecinos que usaban mucha agua,3,2,4,2,2,2,2,3,2,1,2,2,3,4,
74,Oct-Dec,WI,NA,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,4,2,2,4,2,2,2,0,2,4,2,1,
75,Oct-Dec,WI,NA,1,1,1,1,1,0,0,0,2,0,1,0,,4,3,4,3,2,2,2,2,2,2,3,3,2,3,
76,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,4,3,3,3,1,3,3,1,1,4,1,
77,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,8– se le a cabe garrafón-can a tienda x galoncitos de agua—marca,3,2,4,3,3,4,2,2,2,2,3,4,3,1,
78,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,4,2,3,4,4,2,3,2,2,2,4,2,
79,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,4,4,4,4,0,4,3,3,4,3,1,
80,Oct-Dec,WS,NA,1,0,0,0,0,0,0,0,0,0,0,0,7) Cuerpo: A veces se les acaban garrafones --> caro. Se compran garrafón mas pequeño--scarch--> más barata,4,1,4,3,3,4,3,3,3,3,2,4,2,1,"1. Aplican a universidad-noviembre empezó clases
11. triste"
81,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,1,0,0,0,"9) Enojo: aviso de corte. Cambia forma de hacer cosas.
Garrafón- están pendientes--comida hija
Aviso corte- cambiaron rutinas para prepararse",2,1,2,4,3,4,4,1,4,3,2,1,3,1,
82,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,2,0,2,0,"2) Interrupción: se descompiesa tubería-fuera-llegaba poco-normal si no lo lavaron
9) Enojo: por tubería y por mala calidad
11) Ninguno: día muy feo",4,3,3,3,4,3,2,3,3,3,3,2,2,3,
83,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,3,0,,0,"8) garrafones se acaban
9) calidad",2,2,3,3,2,3,4,1,3,2,1,2,4,1,
84,Oct-Dec,WS,NA,1,1,0,0,0,0,0,2,0,1,0,0,8) se acaba garrafón muy rápido. tuvieron que ir lejos a llenar,3,4,4,2,2,2,2,3,2,2,4,4,2,3,
85,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,1,0,0,0,,2,4,4,2,2,3,2,2,3,2,3,2,0,2,
86,Oct-Dec,WS,NA,1,2,0,0,0,0,0,0,1,0,0,0,,3,1,3,3,4,4,2,1,4,2,3,2,3,1,
87,Oct-Dec,WS,NA,2,3,2,2,1,2,2,1,3,2,2,1,,3,3,4,1,2,1,2,4,4,2,3,2,2,4,
88,Oct-Dec,WS,NA,1,2,2,2,2,0,2,0,1,0,1,0,,2,1,3,3,4,3,4,3,3,3,4,4,3,3,"puntaje total somado= 43
puntaje total resta= ?"
89,Oct-Dec,WS,NA,1,0,1,0,0,1,0,2,2,0,1,0,,1,3,4,3,2,2,2,2,3,2,2,3,,0,
90,Oct-Dec,WS,NA,0,0,0,0,0,1,0,0,0,0,0,1,"total= 2 , sub= 1 ",1,2,2,1,3,3,3,2,3,3,2,3,2,2,puntaje=-4
91,Oct-Dec,WS,NA,1,2,0,2,0,0,1,0,1,0,0,0,"total= 7, sub= 2",2,2,3,3,4,3,3,2,2,2,3,3,3,2,puntaje= -3
92,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,2,0,0,0,"total= 3, sub=2 ",0,2,2,2,0,4,4,1,4,4,1,2,3,1,puntaje= -12
93,Oct-Dec,WS,NA,1,2,0,1,0,0,0,0,1,0,0,0,"total= 5, sub=1 ",3,3,4,2,1,2,2,2,2,2,2,3,3,1,puntaje= 4
94,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,1,0,0,1,"total= 4, sub= 2 ",3,3,4,4,4,4,1,4,3,1,4,4,4,4,total= 5
95,Oct-Dec,WS,NA,1,1,0,1,0,0,0,0,1,0,0,0,"total= 4, sub= 2 (planes) ",2,4,4,2,2,3,2,4,2,3,4,4,3,4,total= 9
96,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,"total= 0, sub=0 ",0,2,4,3,2,2,2,3,2,3,4,3,4,2,total=0
97,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,"total=0, sub=0 ",2,2,4,2,3,2,2,2,2,2,4,4,3,3,total= 5
98,Oct-Dec,WS,NA,0,1,2,0,0,0,0,1,1,1,0,1,"12) Dicen que agua de... sabe raro, Huele rara, no sabe bueno ",2,3,4,2,2,1,2,4,2,1,3,4,1,2,total=11
99,Oct-Dec,WS,NA,1,3,1,0,0,0,0,1,1,1,1,0,"total=9, sub= 2",2,2,1,3,3,3,3,1,3,2,2,3,3,0,puntaje: -9
100,Oct-Dec,WS,NA,0,0,1,0,0,0,0,0,1,0,0,0,"Planes--cambiar horario-bañarse al mismo tiempo-no mas reguedera y falta agua

Enojo-calidad",2,2,2,3,3,3,3,2,3,3,2,3,3,2,
101,Oct-Dec,WS,NA,2,3,1,1,0,0,3,3,2,1,2,2,,4,2,4,4,4,4,3,3,3,3,4,4,2,2,
102,Oct-Dec,WS,NA,2,1,2,2,0,0,1,0,1,0,0,0,,2,2,4,0,2,4,4,1,3,2,4,3,3,3,
103,Oct-Dec,WS,NA,1,1,2,0,1,0,1,0,1,0,1,0,5) Alimentos: Se usa agua del garrafón y ese día no hubo,2,2,2,3,2,2,2,3,2,2,3,2,3,3,
104,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,0,0,0,0,,2,1,3,2,3,4,4,0,3,3,2,4,3,3,
105,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,3,2,2,2,3,2,1,3,4,1,4,
106,Oct-Dec,WS,NA,1,2,0,2,0,0,1,0,1,0,3,0,,2,3,2,2,3,2,2,2,3,1,3,2,1,2,
107,Oct-Dec,WS,NA,3,3,1,2,1,0,0,0,1,0,0,0,Bebida-siempre hay porque la compran,4,4,3,2,3,4,2,2,4,4,3,4,3,4,
108,Oct-Dec,WS,NA,3,2,3,2,1,0,0,0,1,0,1,0,,2,3,3,2,2,4,3,2,2,2,2,4,2,2,
109,Oct-Dec,WS,NA,1,0,1,3,1,0,1,0,1,0,0,0,Bebida-tio de al lado venda garrafón,1,2,2,1,4,1,1,2,2,2,2,4,4,3,
110,Oct-Dec,WS,NA,0,0,0,0,1,0,0,1,0,1,1,0,5) Alimentos: Quedaron sin agua el sábado.,4,4,4,4,4,4,1,4,4,1,4,4,4,4,
111,Oct-Dec,WS,NA,3,2,1,0,3,2,1,0,1,0,3,0,,3,2,4,4,3,4,3,2,2,1,3,4,2,0,
112,Oct-Dec,WS,NA,1,0,0,0,0,0,0,0,0,0,0,0,,2,3,1,2,2,2,2,1,2,3,1,1,3,2,
113,Oct-Dec,WS,NA,1,1,1,2,0,0,0,0,1,0,0,0,,2,1,2,3,3,3,3,2,4,4,2,2,3,0,
114,Oct-Dec,WS,NA,0,1,1,0,0,0,0,0,0,0,0,0,,2,1,2,3,2,3,3,2,3,2,3,4,2,2,
115,Oct-Dec,WS,NA,1,1,2,0,0,0,0,0,1,0,0,0,3) Ropa: Por eso lavandería. Ya no compran otro lavadora; no es tan caro // usa mucho agua.,3,3,4,3,2,2,2,3,2,1,3,4,2,3,
116,Oct-Dec,WS,NA,3,2,0,0,0,0,1,0,0,0,0,0,,3,3,4,3,2,3,2,2,2,2,4,4,3,4,
117,Oct-Dec,WS,NA,1,0,1,0,0,0,0,0,0,0,0,0,"8) Bebida: Si se acaba, usa maquínita. Siempre abierto --> esta más barato.",3,3,3,3,3,3,2,3,3,4,3,3,2,3,
118,Oct-Dec,WS,NA,0,0,0,1,1,0,1,0,1,0,1,0,"4) Planes: estaba muy sucia.
5) Alimentos: porque estaba sucia.",2,3,3,3,3,1,3,1,3,1,4,3,1,2,
119,Oct-Dec,WS,NA,1,2,1,1,1,0,0,1,1,1,1,0,10) Sueño: Se acaba garrafón.,4,4,4,1,2,2,1,2,2,1,3,3,3,3,escrito debajo de puntaje total: enfermedad 3 meses
120,Oct-Dec,WS,NA,0,0,0,2,1,0,1,0,0,0,0,0,,2,3,4,1,2,2,3,1,2,2,2,3,2,3,
121,Oct-Dec,WS,NA,1,0,0,0,0,0,0,1,0,1,1,0,,1,2,2,2,2,3,2,2,3,4,4,4,2,4,
122,Oct-Dec,WS,NA,0,1,1,1,0,0,0,0,0,0,1,0,,1,0,1,3,3,3,3,1,3,2,2,2,3,1,
123,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,1,0,0,0,,2,2,2,3,3,3,3,2,3,3,1,2,3,1,
124,Oct-Dec,WS,NA,3,3,0,3,0,0,0,2,0,0,0,0,1) a veces 2) nunca habido buena prison 4) la presion: escuchar el avdeo? p/ ejemplos 9) a veces,2,2,4,4,3,4,3,1,3,2,2,4,4,1,
125,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,0,1,2,0,2,3,2,4,4,4,4,
126,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,3,3,2,1,4,3,2,4,3,3,4,
127,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,3,4,4,2,2,2,2,3,2,2,4,4,3,3,
128,Oct-Dec,WS,NA,3,2,1,1,0,0,0,0,1,0,2,0,,4,1,4,3,4,4,2,2,4,3,1,3,4,1,
129,Oct-Dec,WS,NA,0,0,0,1,0,0,1,1,1,0,0,0,,3,2,4,2,1,0,2,4,3,0,1,4,2,2,
130,Oct-Dec,WS,NA,0,1,1,0,0,0,0,0,1,0,1,0,,1,1,2,3,3,2,3,2,3,2,2,4,3,2,
131,Oct-Dec,WS,NA,3,2,1,1,1,0,1,1,2,1,1,0,,0,3,4,2,2,3,1,1,3,4,4,3,4,4,
132,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,3,0,,1,1,2,4,4,3,3,1,3,4,1,2,2,1,
133,Oct-Dec,WS,NA,1,0,0,0,0,0,0,1,0,0,0,0,Bebida-cuando no pasa el vendedor de agua,1,1,4,0,3,3,2,2,3,4,1,4,1,1,
134,Oct-Dec,WS,NA,1,2,0,0,0,0,0,0,0,1,0,0,,2,3,2,2,2,4,3,2,2,4,4,4,2,2,
135,Oct-Dec,WS,NA,0,2,0,0,0,0,0,0,0,0,0,1,,2,2,2,3,3,2,3,2,3,2,1,3,2,1,
136,Oct-Dec,WS,NA,1,1,1,0,0,0,0,1,0,0,1,0,Bebida-se acaba garrafón,2,0,2,2,1,2,2,1,2,1,3,2,3,2,
137,Oct-Dec,WS,NA,0,1,1,0,0,1,1,0,1,0,0,0,,1,2,3,4,3,4,4,2,3,4,4,3,3,1,
138,Oct-Dec,WS,NA,2,2,3,3,2,0,3,0,3,0,0,0,,4,4,4,3,4,2,3,4,4,4,4,3,4,4,"Hay un ? de preguntas 9 y 10, no es claro si los dos son ""4"" o si solo uno y el otro no tenía una repuesta"
139,Oct-Dec,WS,NA,0,1,0,0,0,0,1,1,1,0,0,1,Vergüenza - le hace sentir que gente mar de lo que dese,2,3,3,2,3,2,2,3,4,2,4,3,2,3,
140,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,1,0,1,0,"8) Bebida: tienen purificadora 24 horas --> maquinita --> 1 año. A veces purificadora acaba el agua.
11) Ninguno: si esta especial % sucia--> no lavan ropa blanca.",2,1,2,3,3,3,3,1,3,2,2,4,3,1,
141,Oct-Dec,WS,NA,0,1,1,2,1,2,2,0,3,0,1,0,,3,4,3,1,1,1,1,2,2,1,3,3,2,3,
142,Oct-Dec,WS,NA,1,2,3,1,1,1,2,2,3,0,2,0,,4,2,3,2,3,4,2,2,3,2,3,3,3,2,
143,Oct-Dec,WS,NA,1,0,0,0,0,0,0,1,1,0,1,0,,2,2,2,2,1,4,2,2,3,2,2,2,4,1,
144,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,0,1,0,0,,0,4,4,2,2,2,3,0,3,2,4,4,3,3,
145,Oct-Dec,WS,NA,1,2,1,0,0,0,0,0,0,0,2,0,,2,3,4,3,3,3,3,2,3,2,3,3,2,4,
146,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,2,2,2,4,3,3,2,4,3,3,4,
147,Oct-Dec,WS,NA,0,0,0,0,0,0,3,0,0,0,2,0,"5) Alimentos: No utilize el agua del suministro o publico para lavar alimentos.
7) Porque el agua estaba muy sucia.",0,1,3,4,4,3,3,2,3,2,1,4,2,1,
148,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,1,0,0,0,9) Enojo: la de beber robó garrafón -- suegra,2,1,4,4,4,3,4,2,4,2,4,1,4,1,
149,Oct-Dec,WS,NA,3,3,2,2,2,0,1,0,3,0,1,0,,4,2,4,3,2,3,3,1,2,2,4,4,2,1,
150,Oct-Dec,WS,NA,0,0,0,0,0,0,0,1,1,0,0,0,,2,4,3,3,4,4,4,3,3,2,3,2,2,3,
151,Oct-Dec,WS,NA,1,0,2,0,0,1,1,0,1,0,0,0,,2,3,2,2,2,2,2,2,2,3,2,2,2,2,
152,Oct-Dec,WS,NA,3,2,1,1,0,0,1,1,3,0,1,0,,3,2,3,3,3,4,2,2,3,3,3,4,3,4,
153,Oct-Dec,WS,NA,2,1,2,1,0,0,2,2,2,2,0,0,,3,3,4,3,4,4,4,1,4,2,2,4,4,1,
154,Oct-Dec,WS,NA,2,3,1,1,0,0,0,0,1,0,0,0,,2,0,2,3,2,3,2,2,3,3,2,2,2,2,"For # 9 and #10 both have a score of 3... note of : ""?!"" "
155,Oct-Dec,WS,NA,1,3,3,0,1,0,0,0,2,0,2,0,,0,1,3,2,4,4,2,1,2,2,2,2,2,3,
156,Oct-Dec,WS,NA,2,1,2,3,0,0,0,0,0,0,0,0,,2,1,4,2,1,2,3,4,2,3,4,1,1,2,
157,Oct-Dec,WS,NA,2,2,1,1,0,0,0,0,1,0,1,0,,2,2,3,3,3,2,3,2,3,2,2,4,3,1,
158,Oct-Dec,WS,NA,3,2,2,2,0,0,0,0,0,0,0,0,,3,3,3,2,4,4,3,3,4,3,3,3,4,3,
159,Oct-Dec,WS,NA,1,1,1,0,0,0,0,0,1,0,1,0,,4,4,4,2,2,2,2,4,2,0,4,4,1,3,
160,Oct-Dec,WS,NA,0,2,0,0,0,0,0,0,0,0,0,0,,1,1,3,4,4,4,4,1,4,3,1,3,2,0,
161,Oct-Dec,WS,NA,1,2,1,1,0,0,2,0,2,0,0,0,,1,2,2,3,3,4,3,2,3,2,2,3,1,2,
162,Oct-Dec,WS,NA,1,2,0,0,0,0,1,0,1,0,1,0,,2,0,2,3,3,3,3,1,2,2,1,3,2,1,
163,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,0,0,0,0,,3,3,3,4,3,3,2,2,3,2,4,4,2,3,
